Info:TIM: 6625
Info: Gravity RAW data:
x	y	z	
info: :set_dispaly_suspend:6641115:368: dispaly_suspendinfo: :tp_goto_sleep:6641120:175: tp_goto_sleep
Info:TIM: 6634
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 8.884839	0.922937	1.106567	
Info:ACC: 9.191089	1.076062	0.955237	
Info:ACC: 9.651062	1.075464	1.109558	
Info:ACC: 9.804785	1.229785	1.415808	
Info:ACC: 9.651660	1.230383	1.262085	
Info:ACC: 9.498535	1.076062	0.956433	
Info:ACC: 9.651062	1.075464	0.956433	
Info:ACC: 9.804187	1.075464	1.110156	
Info:ACC: 9.651062	1.076062	1.262683	
Info:ACC: 9.651062	1.076660	1.262683	
Info:ACC: 9.651062	1.076660	1.262683	
Info:ACC: 9.651062	1.076062	1.109558	
Info:ACC: 9.650464	0.922937	1.108960	
Info:ACC: 9.497339	0.922937	1.109558	
Info:ACC: 9.497339	0.923535	1.262085	
Info:ACC: 9.497339	1.077258	1.415210	
Info:ACC: 9.497937	1.077258	1.415210	
Info:ACC: 9.497937	1.077258	1.415210	
Info:ACC: 9.497937	0.924133	1.415808	
Info:ACC: 9.650464	0.924731	1.568933	
Info:ACC: 9.497937	1.077856	1.568335	
Info:ACC: 9.497937	0.924731	1.568335	
Info:ACC: 9.497339	0.924731	1.415210	
Info:ACC: 9.497339	1.077258	1.415210	
Info:ACC: 9.497937	1.077856	1.568335	
Info:ACC: 9.497937	1.078455	1.721460	
Info:ACC: 9.344213	0.924731	1.567737	
GDB->counter = 1
Info:ACC: 9.344213	1.077856	1.567737	
Info:ACC: 9.344812	1.077856	1.568335	
Info:ACC: 9.497937	1.077856	1.568335	
Info:ACC: 9.497937	1.077856	1.720862	
Info:ACC: 9.344213	0.925330	1.720862	
Info:ACC: 9.344213	0.924731	1.567737	
Info:ACC: 9.344213	0.924731	1.567737	
Info:ACC: 9.497339	0.924731	1.721460	
Info:ACC: 9.497339	0.925330	1.721460	
Info:ACC: 9.344213	0.925330	1.720862	
Info:ACC: 9.344213	0.925330	1.720862	
Info:ACC: 9.344213	0.925330	1.873987	
Info:ACC: 9.344213	0.925928	2.027112	
Info:ACC: 9.497339	0.926526	1.874585	
Info:ACC: 9.497339	0.772803	1.874585	
Info:ACC: 9.496740	0.772205	1.721460	
